episode_index,split,task_index,task_instruction
10,holdout,6,put both moka pots on the stove
20,train,6,put both moka pots on the stove
23,holdout,6,put both moka pots on the stove
46,train,6,put both moka pots on the stove
51,train,6,put both moka pots on the stove
54,holdout,6,put both moka pots on the stove
57,train,6,put both moka pots on the stove
67,holdout,6,put both moka pots on the stove
70,train,6,put both moka pots on the stove
73,holdout,6,put both moka pots on the stove
86,holdout,6,put both moka pots on the stove
100,train,6,put both moka pots on the stove
106,train,6,put both moka pots on the stove
115,train,6,put both moka pots on the stove
143,train,6,put both moka pots on the stove
149,holdout,6,put both moka pots on the stove
179,train,6,put both moka pots on the stove
187,train,6,put both moka pots on the stove
194,holdout,6,put both moka pots on the stove
204,train,6,put both moka pots on the stove
214,train,6,put both moka pots on the stove
270,train,6,put both moka pots on the stove
283,train,6,put both moka pots on the stove
288,train,6,put both moka pots on the stove
306,train,6,put both moka pots on the stove
314,train,6,put both moka pots on the stove
316,train,6,put both moka pots on the stove
341,holdout,6,put both moka pots on the stove
376,train,6,put both moka pots on the stove
